,austria.pdf,bd_2024.pdf,singapore_2023.pdf,analysis_report_austria.pdf,analysis_report_austria_MERGED.pdf,analysis_report_bd_2024.pdf,analysis_report_bd_2024_MERGED.pdf,analysis_report_singapore_2023.pdf,analysis_report_singapore_2023_MERGED.pdf,african_union_2022.pdf,australia_sept_2024.pdf,china_2017.pdf,egypt_2022.pdf,india_2018.pdf,mexico_2018.pdf,us_2023.pdf
austria.pdf,100.0,88.11,91.26,82.49,99.5,81.46,88.99,84.74,91.37,61.8,84.26,86.82,92.54,92.73,83.91,78.05
bd_2024.pdf,88.11,100.0,89.2,82.79,89.44,85.0,99.47,86.79,89.64,69.03,88.86,84.5,90.34,90.06,86.15,88.76
singapore_2023.pdf,91.26,89.2,100.0,83.7,92.32,83.03,90.16,90.7,99.94,65.46,85.24,87.56,91.73,92.73,86.99,80.65
analysis_report_austria.pdf,82.49,82.79,83.7,100.0,87.72,91.41,86.47,94.1,85.2,68.02,80.46,77.4,85.58,85.02,84.73,71.79
analysis_report_austria_MERGED.pdf,99.5,89.44,92.32,87.72,100.0,85.38,90.86,88.64,92.68,64.47,85.79,87.41,93.71,93.79,86.21,78.97
analysis_report_bd_2024.pdf,81.46,85.0,83.03,91.41,85.38,100.0,89.97,92.8,84.47,67.74,80.16,79.07,85.57,85.52,82.12,72.35
analysis_report_bd_2024_MERGED.pdf,88.99,99.47,90.16,86.47,90.86,89.97,100.0,90.05,90.81,70.4,89.28,85.5,91.62,91.38,87.42,87.66
analysis_report_singapore_2023.pdf,84.74,86.79,90.7,94.1,88.64,92.8,90.05,100.0,92.16,67.24,85.17,82.53,88.2,87.4,85.16,76.08
analysis_report_singapore_2023_MERGED.pdf,91.37,89.64,99.94,85.2,92.68,84.47,90.81,92.16,100.0,66.08,85.85,87.77,92.1,92.95,87.47,80.85
african_union_2022.pdf,61.8,69.03,65.46,68.02,64.47,67.74,70.4,67.24,66.08,100.0,72.48,52.58,67.78,70.13,71.28,69.6
australia_sept_2024.pdf,84.26,88.86,85.24,80.46,85.79,80.16,89.28,85.17,85.85,72.48,100.0,72.79,82.61,82.98,78.61,87.49
china_2017.pdf,86.82,84.5,87.56,77.4,87.41,79.07,85.5,82.53,87.77,52.58,72.79,100.0,87.17,87.65,81.2,70.67
egypt_2022.pdf,92.54,90.34,91.73,85.58,93.71,85.57,91.62,88.2,92.1,67.78,82.61,87.17,100.0,94.93,90.25,79.18
india_2018.pdf,92.73,90.06,92.73,85.02,93.79,85.52,91.38,87.4,92.95,70.13,82.98,87.65,94.93,100.0,88.92,78.68
mexico_2018.pdf,83.91,86.15,86.99,84.73,86.21,82.12,87.42,85.16,87.47,71.28,78.61,81.2,90.25,88.92,100.0,79.15
us_2023.pdf,78.05,88.76,80.65,71.79,78.97,72.35,87.66,76.08,80.85,69.6,87.49,70.67,79.18,78.68,79.15,100.0
